Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;4.0;500.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;10.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;16.0;600.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.3;1900.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;16.0;3500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;800.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;6.3;2900.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;10.0;500.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;20.0;700.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;5000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;10.0;800.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;20.0;2500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;6.3;600.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;1800.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;6.3;7600.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;10.0;1800.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;16.0;600.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.3;1400.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;16.0;3500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;4.0;1900.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;16.0;700.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;6.3;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;16.0;9300.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;20.0;600.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;3400.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;6.3;6300.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;10.0;1100.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;20.0;1900.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;6.3;500.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;16.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;1900.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
TM3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;16.0;600.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40166.png;Datasheet\capacitors\TM3\TM3.pdf;Datasheet\capacitors\TM3\TM3.zip
