Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;50.0;300.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;10.0;450.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;16.0;700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;25.0;3500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;35.0;300.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;330 µF;6.3;60.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;330 µF;10.0;125.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;20.0;350.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;16.0;3000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;20.0;150.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;35.0;700.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;6.3;150.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;20.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;25.0;175.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 mF;4.0;100.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;400.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;50.0;550.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;16.0;200.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;25.0;700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;470 µF;6.3;200.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;35.0;275.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;470 µF;10.0;100.0;7.3 x 6.0 x 3.8 (W);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;20.0;150.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;6.3;350.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;35.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;10.0;200.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;16.0;125.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;330 µF;4.0;100.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;25.0;425.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;50.0;700.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;10.0;800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;600.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;25.0;4000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;35.0;250.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;6.3;150.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;10.0;100.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;20.0;400.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;25.0;100.0;7.3 x 6.0 x 3.8 (W);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;6.3;600.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;10.0;350.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;16.0;400.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;25.0;500.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;4.0;450.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.33 µF;50.0;7000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;10.0;6800.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;470 µF;4.0;35.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;50.0;500.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;800.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;16.0;225.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;25.0;3500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;35.0;225.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;330 µF;6.3;50.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;330 µF;10.0;40.0;7.3 x 6.0 x 3.8 (W);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;20.0;200.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.3;300.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;35.0;3000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;10.0;600.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;16.0;75.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;4.0;450.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;25.0;275.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;50.0;1500.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;10.0;2000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;16.0;800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;25.0;6000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;35.0;260.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;6.3;250.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;10.0;150.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;20.0;400.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;25.0;100.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;6.3;900.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;10.0;300.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;63.0;500.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;16.0;100.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;25.0;1300.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;4.0;500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;680 µF;6.3;100.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;35.0;400.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;16.0;2500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;20.0;150.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;6.3;300.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;35.0;700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;10.0;80.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;20.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;25.0;300.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;35.0;4000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.3;550.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;75.0;1000.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;10.0;135.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;16.0;75.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;25.0;800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;4.0;150.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;50.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;1000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;20.0;200.0;7.3 x 6.0 x 3.8 (W);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;35.0;300.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;6.3;75.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;10.0;75.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;20.0;475.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;25.0;100.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;6.3;2000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;10.0;600.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;50.0;250.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;16.0;150.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;25.0;700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;4.0;1500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;470 µF;6.3;60.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;35.0;200.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;16.0;1800.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;20.0;200.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;6.3;175.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;35.0;800.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;10.0;200.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;20.0;3000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
TR3;Enlarge;Tantalum, Solid;Surface Mount;Molded;470 µF;4.0;60.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40080.png;Datasheet\capacitors\TR3\TR3.pdf;Datasheet\capacitors\TR3\TR3.zip
