Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151233KKP2T0;Polypropylene;RFI X/Y;Radial Boxed;1,2µF;10;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151233KKM2T0;Polypropylene;RFI X/Y;Radial Boxed;1,2µF;10;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151233KKI2T0;Polypropylene;RFI X/Y;Radial Boxed;1,2µF;10;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KDA2B0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;10.0;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KC02W0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;7.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KCA2B0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;7.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KCI2B0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;7.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KCM2B0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;7.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KDM2B0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;10.0;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KD02W0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;10.0;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121233KDI2B0;Polypropylene;RFI X/Y;Radial Boxed;1,2nF;10;VacX1;330;10.0;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151533MKM2T0;Polypropylene;RFI X/Y;Radial Boxed;1,5µF;20;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151533MKP2T0;Polypropylene;RFI X/Y;Radial Boxed;1,5µF;20;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151533MKI2T0;Polypropylene;RFI X/Y;Radial Boxed;1,5µF;20;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151533KKM2T0;Polypropylene;RFI X/Y;Radial Boxed;1,5µF;10;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151533KKP2T0;Polypropylene;RFI X/Y;Radial Boxed;1,5µF;10;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X151533KKI2T0;Polypropylene;RFI X/Y;Radial Boxed;1,5µF;10;VacX1;330;27.5;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121533MDM2B0;Polypropylene;RFI X/Y;Radial Boxed;1,5nF;20;VacX1;330;10.0;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
F339X1 330VAC;Enlarge;F339X1 330Vac -  X1;F339X121533KD02W0;Polypropylene;RFI X/Y;Radial Boxed;1,5nF;10;VacX1;330;10.0;image/capacitors\28185.png;Datasheet\capacitors\F339X1 330VAC\F339X1 330VAC.pdf;
