Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
SML4738 to SML4764A;Enlarge;SML4738A;8.2;100;8.2;31.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4739A;8.2;100;9.1;28.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4740A;8.2;100;10.0;25.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4741A;8.2;100;11.0;23.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4742A;8.2;100;12.0;21.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4743A;8.2;100;13.0;19.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4744A;8.2;100;15.0;17.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4745A;8.2;100;16.0;15.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4746A;8.2;100;18.0;14.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4747A;8.2;100;20.0;12.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4748A;8.2;100;22.0;11.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4749A;8.2;100;24.0;10.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4750A;8.2;100;27.0;9.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4751A;8.2;100;30.0;8.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4752A;8.2;100;33.0;7.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4753A;8.2;100;36.0;7.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4754A;8.2;100;39.0;6.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4755A;8.2;100;43.0;6.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4756A;8.2;100;47.0;5.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4757A;8.2;100;51.0;5.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4758A;8.2;100;56.0;4.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4759A;8.2;100;62.0;4.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4760A;8.2;100;68.0;3.7;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4761A;8.2;100;75.0;3.3;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4762A;8.2;100;82.0;3.0;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4763A;8.2;100;91.0;2.8;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
SML4738 to SML4764A;Enlarge;SML4764A;8.2;100;100.0;2.5;1000;SMA (DO-214AC);Pulse current;Yes;image/diodes\85782.png;Datasheet\diodes\SML4738 to SML4764A\SML4738 to SML4764A.pdf;
