Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
D/CRCW e3;Enlarge;1;10M;E24;5.0;0.5;200;200;Surface-mount;1210;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E24;5.0;0.75;400;200;Surface-mount;2010;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E24;5.0;1;500;200;Surface-mount;2512;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;2.2M;E24;1.0;1;200;100;Surface-mount;1218;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;2.2M;E24;5.0;1;200;200;Surface-mount;1218;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E96;1.0;0.063;50;100;Surface-mount;0402;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E96;1.0;0.1;75;100;Surface-mount;0603;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E96;1.0;0.125;150;100;Surface-mount;0805;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E96;1.0;0.25;200;100;Surface-mount;1206;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E96;1.0;0.5;200;100;Surface-mount;1210;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E96;1.0;0.75;400;100;Surface-mount;2010;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;10M;E96;1.0;1;500;100;Surface-mount;2512;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;1;2.2M;E96;1.0;1;200;100;Surface-mount;1218;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;0.063;50;;Surface-mount;0402;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;0.1;75;;Surface-mount;0603;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;0.125;150;;Surface-mount;0805;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;0.25;200;;Surface-mount;1206;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;0.5;200;;Surface-mount;1210;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;0.75;400;;Surface-mount;2010;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;1;200;;Surface-mount;1218;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
D/CRCW e3;Enlarge;0;0;;;1;500;;Surface-mount;2512;-55 to +155;AEC-Q200 qualified;image/resistors-fixed/20035.png;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.pdf;Datasheet\/resistors-fixed/D/CRCW e3\D/CRCW e3.zip
