Series;Product Image;Type;Description;Technology;Resistance (min)(Ω);Resistance (max)(Ω);TCR Absolute(ppm/°C);TCR Tracking(ppm/°C);Absolute Tolerance(%);Ratio Tolerance(%);Power(W);Package Type;Case (EIA & Mil);Image path;Datasheet part;3d model part
TCTR;Enlarge;Resistor Networks;Thin Film Center-Tapped Resistors Divider Network for High Temperature Applications;Thin Film;100;100 K;25;2;0.1;n/a;0.250;n/a;0303;image/networks-and-arrays/61095.png;Datasheet\/networks-and-arrays/TCTR\TCTR.pdf;None
TOMC;Enlarge;Resistor Networks;Molded, 50 mil Pitch, Dual-In-Line Thin Film Resistor, Surface Mount Network;Thin Film;100;100 K;25;5;0.1;0.025;0.05;SOIC (molded);n/a;image/networks-and-arrays/60008.png;Datasheet\/networks-and-arrays/TOMC\TOMC.pdf;None
TSP;Enlarge;Resistor Networks;Molded, Commercial, Single In-Line Thin Film Resistor, Through Hole Network (Standard);Thin Film;100;200 K;25;1;0.1;0.05;0.100;SIP;n/a;image/networks-and-arrays/60037.png;Datasheet\/networks-and-arrays/TSP\TSP.pdf;None
TSR;Enlarge;Resistor Networks;Thick Film Surge Resistor Networks, Single-In-Line;Thick Film;24;200;100;n/a;0.5;0.5;2;SIP;n/a;image/networks-and-arrays/68019.png;Datasheet\/networks-and-arrays/TSR\TSR.pdf;None
TxxS;Enlarge;Resistor Networks;Thick Film Resistor Networks, Single-In-Line, Conformal Coated SIP;Thick Film;50;1 M;100;n/a;2;n/a;0.050;SIP;n/a;image/networks-and-arrays/68010.png;Datasheet\/networks-and-arrays/TxxS\TxxS.pdf;None
VSOR2000S1;Enlarge;Resistor Networks;Molded, 50 mil Pitch, Dual In-Line Thin Film Resistor, Surface Mount Network;Thin Film;50;125.125 K;100;10;1;0.5;;SOIC (molded);n/a;image/networks-and-arrays/60009.png;Datasheet\/networks-and-arrays/VSOR2000S1\VSOR2000S1.pdf;None
VTF (Custom);Enlarge;Resistor Networks;Conformal, Single In-Line Thin Film Resistor, Through Hole Network (Custom);Thin Film;100;2 M;10;2;0.05;0.01;0.100;SIP;n/a;image/networks-and-arrays/60041.png;Datasheet\/networks-and-arrays/VTF (Custom)\VTF (Custom).pdf;None
VTF (Standard);Enlarge;Resistor Networks;Conformal, Single In-Line Thin Film Resistor, Through Hole Network (Standard);Thin Film;100;2 M;10;2;0.1;0.02;0.1;SIP;n/a;image/networks-and-arrays/60038.png;Datasheet\/networks-and-arrays/VTF (Standard)\VTF (Standard).pdf;None
VTSR, VSSR, VSOR;Enlarge;Resistor Networks;Molded, 25 mil or 50 mil Pitch, Dual-In-Line Thin Film Resistor, Surface Mount Network;Thin Film;10;47 K;100;;2;n/a;0.1;SOIC (molded);n/a;image/networks-and-arrays/60003.png;Datasheet\/networks-and-arrays/VTSR, VSSR, VSOR\VTSR, VSSR, VSOR.pdf;None
WOMC;Enlarge;Resistor Networks;Molded, 50 mil Pitch, Dual-In-Line Thin Film Resistor, Wide Body, Surface Mount Network;Thin Film;100;500 K;25;5;0.1;0.05;0.1;SOIC (molded);n/a;image/networks-and-arrays/60010.png;Datasheet\/networks-and-arrays/WOMC\WOMC.pdf;None
