Series;Product Image;IFAV(A);TC(°C);VRRM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFat IFMat 25 °C(V at A);TJ(°C);RthJC(°C/W);Package;CircuitConfiguration;Isolation fromHeatsink;Image path;Datasheet part;3d model part
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;800;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Single diode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;1000;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;800;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;1000;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;600;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Single diode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;800;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;600;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;800;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;400;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Single diode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;600;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;1600;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Single diode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;400;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;600;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series;Enlarge;100;112;1600;2020;2115;1.55;-40 to +150;0.22;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image\modules\94627.png;Datasheet\modules\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series\VS-VSKD91.., VS-VSKC91.., VS-VSKJ91.., VS-VSKE91.. Series.pdf;
