Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511025JI02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;250;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511025JIM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;250;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511025JIP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;250;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511025JKI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;250;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511025JKM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;250;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511025JKP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;250;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511040JKP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;400;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511040JI20W0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;400;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511040JII2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;400;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511085JKI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;850;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511085JKP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;850;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211100JCA2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1000;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211100JCI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1000;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211100JB02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1000;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211100JB02G0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1000;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211100JCM2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1000;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211125JC02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1250;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211125JCM2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1250;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211125JCA2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1250;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211125JC02G0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1250;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211125JCI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1250;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211160JDI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1600;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211160JDA2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1600;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211160JD02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1600;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511100JPI2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511100JPI4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511100JPM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511100JPM4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511100JPP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511100JPP4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511125JPM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511125JPM4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511125JPP4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511125JPI4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511125JPI2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511125JPP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JII2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JFM2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;15.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JFI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;15.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JF02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;15.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JI02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JC02Z0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JIM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JFP2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;15.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JC02R0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511016JIP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPP5T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPP4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPM4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPI5T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPI4T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPI2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511160JPM5T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;1600;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511200JYI2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;2000;52.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511200JYI5T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;2000;52.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511200JYM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;2000;52.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511200JYM5T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;2000;52.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511200JYP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;2000;52.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511200JYP5T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;2000;52.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511025JII2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;250;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511040JIM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;400;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511040JIP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;400;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511040JKM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;400;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511040JKI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;400;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511063JKI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;630;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511063JKM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;630;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511063JKP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;630;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385511085JKM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1µF;5;Vdc;850;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211160JD02G0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1600;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211160JC02R0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1600;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211160JC02H0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1600;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211160JDM2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;1600;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211200JC02R0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2000;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211200JD02G0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2000;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211200JD02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2000;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211200JDA2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2000;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211200JDI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2000;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211200JDM2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2000;10.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211200JC02H0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2000;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211250JII2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2500;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211250JIM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2500;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211250JIP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2500;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211250JI02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;2500;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211085JC02G0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;850;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211085JCM2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;850;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211085JCI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;850;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211085JCA2B0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;850;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385211085JC02W0;Polypropylene;AC & Pulse;Radial Boxed;1,1nF;5;Vdc;850;7.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512100JPI2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512100JPI4T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512100JPM4T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512100JPP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512100JPP4T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512100JPM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1000;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512125JPI4T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512125JPP4T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512125JPM4T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512125JPP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512125JPI2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512125JPM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;1250;37.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JFP2B0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;15.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JI02W0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JFM2B0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;15.0;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JII2B0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JIM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JIP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;22.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JKM2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JKP2T0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
MKP385;Enlarge;MKP385 - Single Metalized AC&Pulse;MKP385512016JKI2B0;Polypropylene;AC & Pulse;Radial Boxed;1,2µF;5;Vdc;160;27.5;image/capacitors\28174.png;Datasheet\capacitors\MKP385\MKP385.pdf;
